match_date,season,qpr_points,form_last5
2021-08-07,2023-24,1,1
2021-08-14,2023-24,3,4
2021-08-18,2023-24,3,7
2021-08-21,2023-24,1,8
2021-08-28,2023-24,3,11
2021-09-11,2023-24,1,11
2021-09-14,2023-24,0,8
2021-09-18,2023-24,0,5
2021-09-24,2023-24,0,4
2021-09-28,2023-24,3,4
2021-10-02,2023-24,3,6
2021-10-16,2023-24,0,6
2021-10-19,2023-24,3,9
2021-10-23,2023-24,0,9
2021-10-29,2023-24,1,7
2021-11-03,2023-24,3,7
2021-11-06,2023-24,1,8
2021-11-19,2023-24,3,8
2021-11-24,2023-24,3,11
2021-11-29,2023-24,3,13
2021-12-05,2023-24,0,10
2021-12-27,2023-24,0,9
2021-12-30,2023-24,3,9
2022-01-02,2023-24,3,9
2022-01-15,2023-24,3,9
2022-01-22,2023-24,3,12
2022-01-25,2023-24,1,13
2022-01-29,2023-24,3,13
2022-02-09,2023-24,1,11
2022-02-12,2023-24,0,8
2022-02-15,2023-24,0,5
2022-02-19,2023-24,1,5
2022-02-23,2023-24,3,5
2022-02-26,2023-24,0,4
2022-03-05,2023-24,0,4
2022-03-13,2023-24,3,7
2022-03-16,2023-24,0,6
2022-03-20,2023-24,0,3
2022-04-02,2023-24,0,3
2022-04-05,2023-24,0,3
2022-04-09,2023-24,0,0
2022-04-15,2023-24,1,1
2022-04-18,2023-24,3,4
2022-04-23,2023-24,0,4
2022-04-29,2023-24,0,4
2022-05-07,2023-24,3,7
2022-07-30,2022-23,0,0
2022-08-06,2022-23,3,3
2022-08-13,2022-23,1,4
2022-08-16,2022-23,0,4
2022-08-20,2022-23,1,5
2022-08-27,2022-23,3,8
2022-08-30,2022-23,3,8
2022-09-03,2022-23,0,7
2022-09-14,2022-23,3,10
2022-09-17,2022-23,1,10
2022-10-01,2022-23,3,10
2022-10-04,2022-23,3,10
2022-10-07,2022-23,3,13
2022-10-15,2022-23,0,10
2022-10-19,2022-23,3,12
2022-10-22,2022-23,3,12
2022-10-28,2022-23,0,9
2022-11-02,2022-23,1,7
2022-11-05,2022-23,0,7
2022-11-08,2022-23,0,4
2022-11-12,2022-23,0,1
2022-12-11,2022-23,0,1
2022-12-17,2022-23,3,3
2022-12-26,2022-23,1,4
2022-12-29,2022-23,0,4
2023-01-02,2022-23,1,5
2023-01-14,2022-23,1,6
2023-01-21,2022-23,1,4
2023-01-28,2022-23,0,3
2023-02-04,2022-23,1,4
2023-02-11,2022-23,0,3
2023-02-14,2022-23,0,2
2023-02-18,2022-23,0,1
2023-02-25,2022-23,0,1
2023-03-04,2022-23,0,0
2023-03-11,2022-23,3,3
2023-03-14,2022-23,0,3
2023-03-18,2022-23,0,3
2023-04-01,2022-23,0,3
2023-04-07,2022-23,0,3
2023-04-10,2022-23,1,1
2023-04-15,2022-23,0,1
2023-04-19,2022-23,1,2
2023-04-22,2022-23,3,5
2023-04-29,2022-23,3,8
2023-05-08,2022-23,0,7
2023-08-05,2021-22,0,0
2023-08-12,2021-22,3,3
2023-08-19,2021-22,0,3
2023-08-26,2021-22,0,3
2023-09-02,2021-22,3,6
2023-09-16,2021-22,0,6
2023-09-19,2021-22,1,4
2023-09-22,2021-22,1,5
2023-09-30,2021-22,0,5
2023-10-04,2021-22,0,2
2023-10-07,2021-22,0,2
2023-10-21,2021-22,0,1
2023-10-24,2021-22,0,0
2023-10-28,2021-22,0,0
2023-11-04,2021-22,1,1
2023-11-11,2021-22,1,2
2023-11-25,2021-22,0,2
2023-11-28,2021-22,3,5
2023-12-01,2021-22,3,8
2023-12-09,2021-22,3,10
2023-12-13,2021-22,1,10
2023-12-16,2021-22,0,10
2023-12-23,2021-22,0,7
2023-12-26,2021-22,0,4
2023-12-29,2021-22,1,2
2024-01-01,2021-22,0,1
2024-01-14,2021-22,0,1
2024-01-20,2021-22,3,4
2024-01-28,2021-22,1,5
2024-02-03,2021-22,3,7
2024-02-10,2021-22,1,8
2024-02-14,2021-22,0,8
2024-02-17,2021-22,3,8
2024-02-24,2021-22,3,10
2024-03-02,2021-22,3,10
2024-03-06,2021-22,1,10
2024-03-09,2021-22,0,10
2024-03-16,2021-22,1,8
2024-03-29,2021-22,3,8
2024-04-01,2021-22,3,8
2024-04-06,2021-22,0,7
2024-04-09,2021-22,1,8
2024-04-13,2021-22,0,7
2024-04-20,2021-22,3,7
2024-04-26,2021-22,3,7
2024-05-04,2021-22,3,10
2024-08-10,2024-25,0,0
2024-08-17,2024-25,1,1
2024-08-24,2024-25,1,2
2024-08-30,2024-25,3,5
2024-09-14,2024-25,1,6
2024-09-21,2024-25,1,7
2024-09-28,2024-25,0,6
2024-10-01,2024-25,0,5
2024-10-05,2024-25,0,2
2024-10-19,2024-25,0,1
2024-10-22,2024-25,1,1
2024-10-26,2024-25,1,2
2024-11-02,2024-25,1,3
2024-11-05,2024-25,0,3
2024-11-09,2024-25,0,3
2024-11-23,2024-25,1,3
2024-11-27,2024-25,3,5
2024-11-30,2024-25,1,5
2024-12-07,2024-25,3,8
2024-12-11,2024-25,3,11
2024-12-14,2024-25,1,11
2024-12-21,2024-25,3,11
2024-12-26,2024-25,0,10
2024-12-29,2024-25,1,8
2025-01-01,2024-25,3,8
2025-01-06,2024-25,3,10
2025-01-18,2024-25,3,10
2025-01-21,2024-25,3,13
2025-01-25,2024-25,0,12
2025-02-01,2024-25,0,9
2025-02-04,2024-25,3,9
2025-02-11,2024-25,0,6
2025-02-14,2024-25,3,6
2025-02-22,2024-25,0,6
2025-03-01,2024-25,0,6
2025-03-08,2024-25,0,3
2025-03-11,2024-25,0,3
2025-03-15,2024-25,1,1
2025-03-29,2024-25,0,1
2025-04-05,2024-25,1,2
2025-04-09,2024-25,3,5
2025-04-12,2024-25,1,6
2025-04-18,2024-25,3,8
2025-04-21,2024-25,0,8
2025-04-26,2024-25,0,7
2025-05-03,2024-25,3,7
2025-08-09,2025-26,1,1
2025-08-16,2025-26,0,1
2025-08-23,2025-26,0,1
2025-08-30,2025-26,3,4
2025-09-13,2025-26,3,7
2025-09-20,2025-26,3,9
2025-09-27,2025-26,1,10
2025-10-01,2025-26,1,11
2025-10-04,2025-26,3,11
2025-10-18,2025-26,0,8
2025-10-22,2025-26,3,8
2025-10-25,2025-26,0,7
2025-11-01,2025-26,0,6
2025-11-05,2025-26,0,3
2025-11-08,2025-26,1,4
2025-11-22,2025-26,3,4
2025-11-26,2025-26,3,7
2025-11-29,2025-26,0,7
2025-12-06,2025-26,3,10
2025-12-09,2025-26,3,12
2025-12-13,2025-26,0,9
2025-12-20,2025-26,3,9
2025-12-26,2025-26,1,10
2025-12-29,2025-26,0,7
2026-01-01,2025-26,0,4
2026-01-04,2025-26,3,7
2026-01-17,2025-26,1,5
2026-01-20,2025-26,1,5
2026-01-24,2025-26,0,5
2026-01-31,2025-26,3,8
2026-02-06,2025-26,1,6
2026-02-14,2025-26,0,5
2026-02-21,2025-26,3,7
2026-02-24,2025-26,0,7
2026-02-28,2025-26,0,4
2026-03-08,2025-26,0,3
2026-03-11,2025-26,0,3
2026-03-14,2025-26,3,3
2026-03-21,2025-26,3,6
2026-04-03,2025-26,3,9
2026-04-06,2025-26,1,10
2026-04-11,2025-26,1,11
2026-04-18,2025-26,0,8
2026-04-21,2025-26,0,5
2026-04-25,2025-26,0,2
2026-05-02,2025-26,0,1
